"Question","Expected"
"What is 2+2?","4"
"what is 3+3?","6"
"what is the square root of 4?","2"
What is the capital of France? (Variant 1),Expected answer for question variant 1.
How does photosynthesis work? (Variant 2),Expected answer for question variant 2.
What is the largest planet in the solar system? (Variant 3),Expected answer for question variant 3.
Explain the concept of machine learning. (Variant 4),Expected answer for question variant 4.
Who wrote Romeo and Juliet? (Variant 5),Expected answer for question variant 5.
What causes rain? (Variant 6),Expected answer for question variant 6.
How do computers store data? (Variant 7),Expected answer for question variant 7.
What is the speed of light? (Variant 8),Expected answer for question variant 8.
Why do leaves change color? (Variant 9),Expected answer for question variant 9.
What is the purpose of an operating system? (Variant 10),Expected answer for question variant 10.
What is the capital of France? (Variant 11),Expected answer for question variant 11.
How does photosynthesis work? (Variant 12),Expected answer for question variant 12.
What is the largest planet in the solar system? (Variant 13),Expected answer for question variant 13.
Explain the concept of machine learning. (Variant 14),Expected answer for question variant 14.
Who wrote Romeo and Juliet? (Variant 15),Expected answer for question variant 15.
What causes rain? (Variant 16),Expected answer for question variant 16.
How do computers store data? (Variant 17),Expected answer for question variant 17.
What is the speed of light? (Variant 18),Expected answer for question variant 18.
Why do leaves change color? (Variant 19),Expected answer for question variant 19.
What is the purpose of an operating system? (Variant 20),Expected answer for question variant 20.
What is the capital of France? (Variant 21),Expected answer for question variant 21.
How does photosynthesis work? (Variant 22),Expected answer for question variant 22.
What is the largest planet in the solar system? (Variant 23),Expected answer for question variant 23.
Explain the concept of machine learning. (Variant 24),Expected answer for question variant 24.
Who wrote Romeo and Juliet? (Variant 25),Expected answer for question variant 25.
What causes rain? (Variant 26),Expected answer for question variant 26.
How do computers store data? (Variant 27),Expected answer for question variant 27.
What is the speed of light? (Variant 28),Expected answer for question variant 28.
Why do leaves change color? (Variant 29),Expected answer for question variant 29.
What is the purpose of an operating system? (Variant 30),Expected answer for question variant 30.
What is the capital of France? (Variant 31),Expected answer for question variant 31.
How does photosynthesis work? (Variant 32),Expected answer for question variant 32.
What is the largest planet in the solar system? (Variant 33),Expected answer for question variant 33.
Explain the concept of machine learning. (Variant 34),Expected answer for question variant 34.
Who wrote Romeo and Juliet? (Variant 35),Expected answer for question variant 35.
What causes rain? (Variant 36),Expected answer for question variant 36.
How do computers store data? (Variant 37),Expected answer for question variant 37.
What is the speed of light? (Variant 38),Expected answer for question variant 38.
Why do leaves change color? (Variant 39),Expected answer for question variant 39.
What is the purpose of an operating system? (Variant 40),Expected answer for question variant 40.
What is the capital of France? (Variant 41),Expected answer for question variant 41.
How does photosynthesis work? (Variant 42),Expected answer for question variant 42.
What is the largest planet in the solar system? (Variant 43),Expected answer for question variant 43.
Explain the concept of machine learning. (Variant 44),Expected answer for question variant 44.
Who wrote Romeo and Juliet? (Variant 45),Expected answer for question variant 45.
What causes rain? (Variant 46),Expected answer for question variant 46.
How do computers store data? (Variant 47),Expected answer for question variant 47.
What is the speed of light? (Variant 48),Expected answer for question variant 48.
Why do leaves change color? (Variant 49),Expected answer for question variant 49.
What is the purpose of an operating system? (Variant 50),Expected answer for question variant 50.
What is the capital of France? (Variant 51),Expected answer for question variant 51.
How does photosynthesis work? (Variant 52),Expected answer for question variant 52.
What is the largest planet in the solar system? (Variant 53),Expected answer for question variant 53.
Explain the concept of machine learning. (Variant 54),Expected answer for question variant 54.
Who wrote Romeo and Juliet? (Variant 55),Expected answer for question variant 55.
What causes rain? (Variant 56),Expected answer for question variant 56.
How do computers store data? (Variant 57),Expected answer for question variant 57.
What is the speed of light? (Variant 58),Expected answer for question variant 58.
Why do leaves change color? (Variant 59),Expected answer for question variant 59.
What is the purpose of an operating system? (Variant 60),Expected answer for question variant 60.
What is the capital of France? (Variant 61),Expected answer for question variant 61.
How does photosynthesis work? (Variant 62),Expected answer for question variant 62.
What is the largest planet in the solar system? (Variant 63),Expected answer for question variant 63.
Explain the concept of machine learning. (Variant 64),Expected answer for question variant 64.
Who wrote Romeo and Juliet? (Variant 65),Expected answer for question variant 65.
What causes rain? (Variant 66),Expected answer for question variant 66.
How do computers store data? (Variant 67),Expected answer for question variant 67.
What is the speed of light? (Variant 68),Expected answer for question variant 68.
Why do leaves change color? (Variant 69),Expected answer for question variant 69.
What is the purpose of an operating system? (Variant 70),Expected answer for question variant 70.
What is the capital of France? (Variant 71),Expected answer for question variant 71.
How does photosynthesis work? (Variant 72),Expected answer for question variant 72.
What is the largest planet in the solar system? (Variant 73),Expected answer for question variant 73.
Explain the concept of machine learning. (Variant 74),Expected answer for question variant 74.
Who wrote Romeo and Juliet? (Variant 75),Expected answer for question variant 75.
What causes rain? (Variant 76),Expected answer for question variant 76.
How do computers store data? (Variant 77),Expected answer for question variant 77.
What is the speed of light? (Variant 78),Expected answer for question variant 78.
Why do leaves change color? (Variant 79),Expected answer for question variant 79.
What is the purpose of an operating system? (Variant 80),Expected answer for question variant 80.
What is the capital of France? (Variant 81),Expected answer for question variant 81.
How does photosynthesis work? (Variant 82),Expected answer for question variant 82.
What is the largest planet in the solar system? (Variant 83),Expected answer for question variant 83.
Explain the concept of machine learning. (Variant 84),Expected answer for question variant 84.
Who wrote Romeo and Juliet? (Variant 85),Expected answer for question variant 85.
What causes rain? (Variant 86),Expected answer for question variant 86.
How do computers store data? (Variant 87),Expected answer for question variant 87.
What is the speed of light? (Variant 88),Expected answer for question variant 88.
Why do leaves change color? (Variant 89),Expected answer for question variant 89.
What is the purpose of an operating system? (Variant 90),Expected answer for question variant 90.
What is the capital of France? (Variant 91),Expected answer for question variant 91.
How does photosynthesis work? (Variant 92),Expected answer for question variant 92.
What is the largest planet in the solar system? (Variant 93),Expected answer for question variant 93.
Explain the concept of machine learning. (Variant 94),Expected answer for question variant 94.
Who wrote Romeo and Juliet? (Variant 95),Expected answer for question variant 95.
What causes rain? (Variant 96),Expected answer for question variant 96.
How do computers store data? (Variant 97),Expected answer for question variant 97.
What is the speed of light? (Variant 98),Expected answer for question variant 98.
Why do leaves change color? (Variant 99),Expected answer for question variant 99.
What is the purpose of an operating system? (Variant 100),Expected answer for question variant 100.
What is the capital of France? (Variant 101),Expected answer for question variant 101.
How does photosynthesis work? (Variant 102),Expected answer for question variant 102.
What is the largest planet in the solar system? (Variant 103),Expected answer for question variant 103.
Explain the concept of machine learning. (Variant 104),Expected answer for question variant 104.
Who wrote Romeo and Juliet? (Variant 105),Expected answer for question variant 105.
What causes rain? (Variant 106),Expected answer for question variant 106.
How do computers store data? (Variant 107),Expected answer for question variant 107.
What is the speed of light? (Variant 108),Expected answer for question variant 108.
Why do leaves change color? (Variant 109),Expected answer for question variant 109.
What is the purpose of an operating system? (Variant 110),Expected answer for question variant 110.
What is the capital of France? (Variant 111),Expected answer for question variant 111.
How does photosynthesis work? (Variant 112),Expected answer for question variant 112.
What is the largest planet in the solar system? (Variant 113),Expected answer for question variant 113.
Explain the concept of machine learning. (Variant 114),Expected answer for question variant 114.
Who wrote Romeo and Juliet? (Variant 115),Expected answer for question variant 115.
What causes rain? (Variant 116),Expected answer for question variant 116.
How do computers store data? (Variant 117),Expected answer for question variant 117.
What is the speed of light? (Variant 118),Expected answer for question variant 118.
Why do leaves change color? (Variant 119),Expected answer for question variant 119.
What is the purpose of an operating system? (Variant 120),Expected answer for question variant 120.
What is the capital of France? (Variant 121),Expected answer for question variant 121.
How does photosynthesis work? (Variant 122),Expected answer for question variant 122.
What is the largest planet in the solar system? (Variant 123),Expected answer for question variant 123.
Explain the concept of machine learning. (Variant 124),Expected answer for question variant 124.
Who wrote Romeo and Juliet? (Variant 125),Expected answer for question variant 125.
What causes rain? (Variant 126),Expected answer for question variant 126.
How do computers store data? (Variant 127),Expected answer for question variant 127.
What is the speed of light? (Variant 128),Expected answer for question variant 128.
Why do leaves change color? (Variant 129),Expected answer for question variant 129.
What is the purpose of an operating system? (Variant 130),Expected answer for question variant 130.
What is the capital of France? (Variant 131),Expected answer for question variant 131.
How does photosynthesis work? (Variant 132),Expected answer for question variant 132.
What is the largest planet in the solar system? (Variant 133),Expected answer for question variant 133.
Explain the concept of machine learning. (Variant 134),Expected answer for question variant 134.
Who wrote Romeo and Juliet? (Variant 135),Expected answer for question variant 135.
What causes rain? (Variant 136),Expected answer for question variant 136.
How do computers store data? (Variant 137),Expected answer for question variant 137.
What is the speed of light? (Variant 138),Expected answer for question variant 138.
Why do leaves change color? (Variant 139),Expected answer for question variant 139.
What is the purpose of an operating system? (Variant 140),Expected answer for question variant 140.
What is the capital of France? (Variant 141),Expected answer for question variant 141.
How does photosynthesis work? (Variant 142),Expected answer for question variant 142.
What is the largest planet in the solar system? (Variant 143),Expected answer for question variant 143.
Explain the concept of machine learning. (Variant 144),Expected answer for question variant 144.
Who wrote Romeo and Juliet? (Variant 145),Expected answer for question variant 145.
What causes rain? (Variant 146),Expected answer for question variant 146.
How do computers store data? (Variant 147),Expected answer for question variant 147.
What is the speed of light? (Variant 148),Expected answer for question variant 148.
Why do leaves change color? (Variant 149),Expected answer for question variant 149.
What is the purpose of an operating system? (Variant 150),Expected answer for question variant 150.
What is the capital of France? (Variant 151),Expected answer for question variant 151.
How does photosynthesis work? (Variant 152),Expected answer for question variant 152.
What is the largest planet in the solar system? (Variant 153),Expected answer for question variant 153.
Explain the concept of machine learning. (Variant 154),Expected answer for question variant 154.
Who wrote Romeo and Juliet? (Variant 155),Expected answer for question variant 155.
What causes rain? (Variant 156),Expected answer for question variant 156.
How do computers store data? (Variant 157),Expected answer for question variant 157.
What is the speed of light? (Variant 158),Expected answer for question variant 158.
Why do leaves change color? (Variant 159),Expected answer for question variant 159.
What is the purpose of an operating system? (Variant 160),Expected answer for question variant 160.
What is the capital of France? (Variant 161),Expected answer for question variant 161.
How does photosynthesis work? (Variant 162),Expected answer for question variant 162.
What is the largest planet in the solar system? (Variant 163),Expected answer for question variant 163.
Explain the concept of machine learning. (Variant 164),Expected answer for question variant 164.
Who wrote Romeo and Juliet? (Variant 165),Expected answer for question variant 165.
What causes rain? (Variant 166),Expected answer for question variant 166.
How do computers store data? (Variant 167),Expected answer for question variant 167.
What is the speed of light? (Variant 168),Expected answer for question variant 168.
Why do leaves change color? (Variant 169),Expected answer for question variant 169.
What is the purpose of an operating system? (Variant 170),Expected answer for question variant 170.
What is the capital of France? (Variant 171),Expected answer for question variant 171.
How does photosynthesis work? (Variant 172),Expected answer for question variant 172.
What is the largest planet in the solar system? (Variant 173),Expected answer for question variant 173.
Explain the concept of machine learning. (Variant 174),Expected answer for question variant 174.
Who wrote Romeo and Juliet? (Variant 175),Expected answer for question variant 175.
What causes rain? (Variant 176),Expected answer for question variant 176.
How do computers store data? (Variant 177),Expected answer for question variant 177.
What is the speed of light? (Variant 178),Expected answer for question variant 178.
Why do leaves change color? (Variant 179),Expected answer for question variant 179.
What is the purpose of an operating system? (Variant 180),Expected answer for question variant 180.
What is the capital of France? (Variant 181),Expected answer for question variant 181.
How does photosynthesis work? (Variant 182),Expected answer for question variant 182.
What is the largest planet in the solar system? (Variant 183),Expected answer for question variant 183.
Explain the concept of machine learning. (Variant 184),Expected answer for question variant 184.
Who wrote Romeo and Juliet? (Variant 185),Expected answer for question variant 185.
What causes rain? (Variant 186),Expected answer for question variant 186.
How do computers store data? (Variant 187),Expected answer for question variant 187.
What is the speed of light? (Variant 188),Expected answer for question variant 188.
Why do leaves change color? (Variant 189),Expected answer for question variant 189.
What is the purpose of an operating system? (Variant 190),Expected answer for question variant 190.
What is the capital of France? (Variant 191),Expected answer for question variant 191.
How does photosynthesis work? (Variant 192),Expected answer for question variant 192.
What is the largest planet in the solar system? (Variant 193),Expected answer for question variant 193.
Explain the concept of machine learning. (Variant 194),Expected answer for question variant 194.
Who wrote Romeo and Juliet? (Variant 195),Expected answer for question variant 195.
What causes rain? (Variant 196),Expected answer for question variant 196.
How do computers store data? (Variant 197),Expected answer for question variant 197.
What is the speed of light? (Variant 198),Expected answer for question variant 198.
Why do leaves change color? (Variant 199),Expected answer for question variant 199.
What is the purpose of an operating system? (Variant 200),Expected answer for question variant 200.
What is the capital of France? (Variant 201),Expected answer for question variant 201.
How does photosynthesis work? (Variant 202),Expected answer for question variant 202.
What is the largest planet in the solar system? (Variant 203),Expected answer for question variant 203.
Explain the concept of machine learning. (Variant 204),Expected answer for question variant 204.
Who wrote Romeo and Juliet? (Variant 205),Expected answer for question variant 205.
What causes rain? (Variant 206),Expected answer for question variant 206.
How do computers store data? (Variant 207),Expected answer for question variant 207.
What is the speed of light? (Variant 208),Expected answer for question variant 208.
Why do leaves change color? (Variant 209),Expected answer for question variant 209.
What is the purpose of an operating system? (Variant 210),Expected answer for question variant 210.
What is the capital of France? (Variant 211),Expected answer for question variant 211.
How does photosynthesis work? (Variant 212),Expected answer for question variant 212.
What is the largest planet in the solar system? (Variant 213),Expected answer for question variant 213.
Explain the concept of machine learning. (Variant 214),Expected answer for question variant 214.
Who wrote Romeo and Juliet? (Variant 215),Expected answer for question variant 215.
What causes rain? (Variant 216),Expected answer for question variant 216.
How do computers store data? (Variant 217),Expected answer for question variant 217.
What is the speed of light? (Variant 218),Expected answer for question variant 218.
Why do leaves change color? (Variant 219),Expected answer for question variant 219.
What is the purpose of an operating system? (Variant 220),Expected answer for question variant 220.
What is the capital of France? (Variant 221),Expected answer for question variant 221.
How does photosynthesis work? (Variant 222),Expected answer for question variant 222.
What is the largest planet in the solar system? (Variant 223),Expected answer for question variant 223.
Explain the concept of machine learning. (Variant 224),Expected answer for question variant 224.
Who wrote Romeo and Juliet? (Variant 225),Expected answer for question variant 225.
What causes rain? (Variant 226),Expected answer for question variant 226.
How do computers store data? (Variant 227),Expected answer for question variant 227.
What is the speed of light? (Variant 228),Expected answer for question variant 228.
Why do leaves change color? (Variant 229),Expected answer for question variant 229.
What is the purpose of an operating system? (Variant 230),Expected answer for question variant 230.
What is the capital of France? (Variant 231),Expected answer for question variant 231.
How does photosynthesis work? (Variant 232),Expected answer for question variant 232.
What is the largest planet in the solar system? (Variant 233),Expected answer for question variant 233.
Explain the concept of machine learning. (Variant 234),Expected answer for question variant 234.
Who wrote Romeo and Juliet? (Variant 235),Expected answer for question variant 235.
What causes rain? (Variant 236),Expected answer for question variant 236.
